Line,Pada,Meter,MP1,MP2,MP3,MP4,MP5,MP6,MP7,MP8
1.010.01b,b,A,H,H,L,H,L,H,L,L
1.010.01c,c,A,H,H,H,H,L,H,L,L
1.010.01d,d,A,H,H,L,L,L,H,L,H
1.010.02a,a,A,H,H,H,H,L,H,L,L
1.010.02b,b,A,H,L,H,H,L,H,L,L
1.010.02c,c,A,L,H,H,H,H,H,L,L
1.010.02d,d,A,H,H,L,H,L,H,L,L
1.010.04a,a,A,H,L,H,H,L,L,L,L
1.010.04b,b,A,L,L,L,H,L,H,L,L
1.010.04c,c,A,H,L,L,H,L,H,L,H
1.010.04d,d,A,H,L,H,H,L,H,L,L
1.010.05a,a,A,H,L,H,H,L,H,L,L
1.010.05b,b,A,H,L,H,L,L,H,L,H
1.010.05c,c,A,H,H,L,H,L,H,L,H
1.010.05d,d,A,H,L,H,L,L,H,L,L
1.010.06a,a,A,L,H,L,H,L,H,L,H
1.010.06b,b,A,H,H,H,H,L,H,L,H
1.010.06c,c,A,L,H,L,L,L,H,L,L
1.010.06d,d,A,H,H,L,L,L,L,H,L
1.010.07a,a,A,L,L,L,H,L,L,L,L
1.010.07b,b,A,H,L,H,H,L,H,L,L
1.010.07c,c,A,L,H,L,L,L,H,L,L
1.010.07d,d,A,L,H,L,H,L,H,L,L
1.010.08a,a,A,L,L,H,H,L,L,L,H
1.010.08b,b,A,L,H,L,H,L,H,L,L
1.010.08c,c,A,H,H,L,H,L,H,L,L
1.010.08d,d,A,H,L,H,H,L,H,L,L
1.010.09a,a,A,H,H,H,L,L,H,L,L
1.010.09b,b,A,H,H,L,H,L,H,L,L
1.010.09c,c,A,H,L,H,L,L,H,L,L
1.010.09d,d,A,H,H,L,H,L,H,L,L
1.010.10a,a,A,H,H,L,H,L,H,L,L
1.010.10b,b,A,H,H,L,L,L,H,L,L
1.010.10c,c,A,L,H,L,H,L,H,L,L
1.010.10d,d,A,H,H,L,H,L,H,L,H
1.010.11a,a,A,H,H,L,H,L,H,L,L
1.010.11b,b,A,H,L,H,H,L,H,L,L
1.010.11c,c,A,H,L,H,H,L,H,L,L
1.010.11d,d,A,L,H,L,H,L,H,L,L
1.010.12a,a,A,L,L,H,H,L,H,L,L
1.010.12b,b,A,L,H,L,H,L,H,L,L
1.010.12c,c,A,H,H,L,L,L,H,L,H
1.010.12d,d,A,H,H,L,H,L,H,L,L
1.011.02a,a,A,H,H,L,H,L,H,L,H
1.011.02b,b,A,H,H,L,L,L,H,L,H
1.011.02c,c,A,L,H,L,L,L,H,L,H
1.011.02d,d,A,H,H,L,L,L,H,L,L
1.011.03a,a,A,H,H,H,H,L,H,L,H
1.011.03b,b,A,L,L,H,H,L,H,L,L
1.011.03c,c,A,L,H,H,H,L,H,L,L
1.011.03d,d,A,H,H,H,H,L,H,L,L
1.011.04a,a,A,L,H,H,H,L,H,L,L
1.011.04b,b,A,L,L,H,L,L,H,L,L
1.011.04c,c,A,H,H,H,H,L,H,L,H
1.011.04d,d,A,H,H,H,H,L,H,L,L
1.011.05a,a,A,L,H,L,H,L,H,L,H
1.011.05b,b,A,L,H,L,H,L,H,L,L
1.011.05c,c,A,L,H,H,L,L,H,L,L
1.011.05d,d,A,H,L,H,H,L,H,L,L
1.011.06a,a,A,L,H,H,H,L,H,L,L
1.011.06b,b,A,H,H,H,H,L,H,L,L
1.011.06c,c,A,L,H,H,H,L,H,L,H
1.011.06d,d,A,L,H,H,H,L,H,L,L
1.011.07a,a,A,H,H,L,H,L,H,L,L
1.011.07b,b,A,L,H,H,L,L,H,L,L
1.011.07c,c,A,L,H,H,H,L,H,L,H
1.011.07d,d,A,H,H,L,H,L,H,L,L
1.011.08a,a,A,H,L,H,H,L,H,L,H
1.011.08b,b,A,L,L,H,L,L,H,L,L
1.011.08c,c,A,L,H,H,H,L,H,L,L
1.011.08d,d,A,L,L,H,H,L,H,L,H
1.012.01a,a,G,H,H,H,H,L,H,L,H
1.012.01b,b,G,H,H,H,H,L,H,L,L
1.012.01c,c,G,H,L,H,H,L,H,L,L
1.012.02a,a,G,H,L,H,H,L,H,L,L
1.012.02b,b,G,L,H,L,H,L,H,L,L
1.012.02c,c,G,H,L,H,H,L,H,L,L
1.012.03a,a,G,H,H,H,H,L,H,L,L
1.012.03b,b,G,H,H,H,H,L,H,L,H
1.012.03c,c,G,L,L,H,H,L,H,L,L
1.012.04a,a,G,H,L,L,H,L,H,L,L
1.012.04b,b,G,L,H,H,H,L,H,L,L
1.012.04c,c,G,H,H,H,H,L,H,L,L
1.012.05a,a,G,L,H,L,L,L,H,L,L
1.012.05b,b,G,L,L,L,L,L,H,L,L
1.012.05c,c,G,H,H,L,H,H,H,L,L
1.012.06a,a,G,H,L,H,H,L,H,L,H
1.012.06b,b,G,L,H,L,L,L,H,L,H
1.012.06c,c,G,H,L,H,L,L,H,L,L
1.012.07a,a,G,L,L,H,L,L,L,L,L
1.012.07b,b,G,H,L,H,H,L,H,L,H
1.012.07c,c,G,H,L,L,H,L,H,L,L
1.012.08a,a,G,H,H,H,H,L,H,L,L
1.012.08b,b,G,H,H,H,L,L,H,L,L
1.012.08c,c,G,H,L,L,H,L,H,L,L
1.012.09a,a,G,H,H,H,H,L,H,L,H
1.012.09b,b,G,L,H,H,H,L,H,L,L
1.012.09c,c,G,H,H,L,H,L,H,L,L
1.012.10a,a,G,L,H,L,H,L,H,L,H
1.012.10b,b,G,H,H,H,H,L,H,L,L
1.012.10c,c,G,L,L,H,H,L,H,L,L
1.012.11a,a,G,L,L,L,H,L,H,L,L
1.012.11b,b,G,H,H,H,L,L,H,L,H
1.012.11c,c,G,L,H,H,L,L,H,L,L
1.012.12a,a,G,H,H,H,H,L,H,L,H
1.012.12b,b,G,H,H,H,H,L,H,L,L
1.012.12c,c,G,L,H,H,H,L,H,L,L
1.013.01a,a,G,L,L,H,H,L,H,L,L
1.013.01b,b,G,H,H,H,H,L,H,L,H
1.013.01c,c,G,H,H,L,H,L,H,L,L
1.013.02a,a,G,L,L,H,H,L,H,L,H
1.013.02b,b,G,H,H,H,H,L,H,L,H
1.013.02c,c,G,H,H,L,L,L,H,L,H
1.013.03a,a,G,L,H,H,L,L,L,L,L
1.013.03b,b,G,H,H,H,L,L,L,L,H
1.013.03c,c,G,L,L,H,H,L,H,L,L
1.013.04a,a,G,H,H,L,L,L,H,L,H
1.013.04b,b,G,H,H,H,L,L,H,L,L
1.013.04c,c,G,L,L,H,H,L,H,L,L
1.013.05a,a,G,L,H,L,H,L,H,L,L
1.013.05b,b,G,L,L,H,H,L,H,L,L
1.013.05c,c,G,H,H,L,H,L,H,L,L
1.013.06a,a,G,L,L,H,H,L,H,L,H
1.013.06b,b,G,H,H,H,H,L,H,L,L
1.013.06c,c,G,H,H,H,H,L,H,L,H
1.013.07a,a,G,H,H,H,H,L,H,L,H
1.013.07b,b,G,H,H,H,L,L,L,L,H
1.013.07c,c,G,L,H,H,H,L,H,L,H
1.013.08a,a,G,H,L,H,L,L,L,L,H
1.013.08b,b,G,H,H,H,H,L,H,L,H
1.013.08c,c,G,H,H,H,H,L,H,L,L
1.013.09a,a,G,L,H,L,H,L,H,L,H
1.013.09b,b,G,H,H,H,H,L,H,L,L
1.013.09c,c,G,H,H,H,H,L,H,L,L
1.013.10a,a,G,L,L,H,H,L,H,L,L
1.013.10b,b,G,H,L,H,L,L,L,L,H
1.013.10c,c,G,H,H,L,H,L,H,L,L
1.013.11a,a,G,L,L,L,H,L,H,L,H
1.013.11b,b,G,H,L,H,H,L,H,L,L
1.013.11c,c,G,L,H,L,H,L,H,L,L
1.013.12a,a,G,H,H,H,H,L,H,L,L
1.013.12b,b,G,H,H,L,H,L,H,L,H
1.013.12c,c,G,H,L,H,H,L,L,L,H
1.014.01a,a,G,H,L,H,H,L,H,L,H
1.014.01b,b,G,H,H,H,H,L,H,L,H
1.014.01c,c,G,H,H,H,H,L,H,L,L
1.014.02a,a,G,H,H,H,L,L,H,L,L
1.014.02b,b,G,L,H,L,H,L,H,L,L
1.014.02c,c,G,H,H,L,H,L,H,L,L
1.014.03a,a,G,H,L,H,H,L,H,L,L
1.014.03b,b,G,H,H,H,H,L,H,L,L
