Line,Pada,Meter,MP1,MP2,MP3,MP4,MP5,MP6,MP7,MP8
8.032.28b,b,G,H,H,L,L,H,H,L,L
8.032.28c,c,G,H,H,H,H,L,H,L,L
8.032.29a,a,G,L,L,H,L,L,H,L,H
8.032.29b,b,G,L,H,L,H,L,H,L,H
8.032.29c,c,G,H,H,L,L,L,H,L,L
8.032.30a,a,G,H,H,H,H,L,H,L,L
8.032.30b,b,G,L,L,H,H,L,H,L,H
8.032.30c,c,G,H,L,H,H,L,H,L,L
8.033.16a,a,G,L,L,H,L,L,H,L,L
8.033.16b,b,G,H,H,H,H,L,H,L,L
8.033.16c,c,G,H,H,H,H,L,H,L,L
8.033.17a,a,G,H,H,H,H,L,H,L,H
8.033.17b,b,G,L,L,L,H,L,H,L,L
8.033.17c,c,G,L,H,L,L,L,H,L,L
8.033.18a,a,G,H,H,H,H,L,H,L,H
8.033.18b,b,G,L,L,H,L,L,H,L,L
8.033.18c,c,G,H,H,H,H,L,H,L,H
8.033.19a,a,A,L,H,H,H,L,H,L,L
8.033.19b,b,A,H,L,H,H,L,H,L,L
8.033.19c,c,A,H,H,L,H,L,H,L,L
8.033.19d,d,A,H,L,H,H,L,H,L,L
8.034.01a,a,A,L,H,L,H,L,L,L,L
8.034.01b,b,A,L,L,H,H,L,H,L,L
8.034.01c,c,A,L,H,L,H,L,H,L,H
8.034.01d,d,A,L,H,L,L,L,H,L,H
8.034.02a,a,A,H,H,H,H,L,H,L,L
8.034.02b,b,A,H,H,H,H,L,L,L,L
8.034.02c,c,A,L,H,L,H,L,H,L,H
8.034.02d,d,A,L,H,L,L,L,H,L,H
8.034.04a,a,A,H,H,H,L,L,H,L,H
8.034.04b,b,A,L,H,H,H,L,H,L,H
8.034.04c,c,A,L,H,L,H,L,H,L,H
8.034.04d,d,A,L,H,L,L,L,H,L,H
8.034.06a,a,A,H,L,H,H,L,H,L,L
8.034.06b,b,A,H,L,H,H,L,H,L,H
8.034.06c,c,A,L,H,L,H,L,H,L,H
8.034.06d,d,A,L,H,L,L,L,H,L,H
8.034.07a,a,A,H,H,H,L,L,H,L,H
8.034.07b,b,A,L,H,H,H,L,H,L,L
8.034.07c,c,A,L,H,L,H,L,H,L,H
8.034.07d,d,A,L,H,L,L,L,H,L,H
8.034.08a,a,A,H,H,H,H,L,H,L,H
8.034.08b,b,A,H,H,H,H,L,H,L,L
8.034.08c,c,A,L,H,L,H,L,H,L,H
8.034.08d,d,A,L,H,L,L,L,H,L,H
8.034.09a,a,A,H,H,L,H,L,H,L,H
8.034.09b,b,A,H,H,H,H,L,H,L,L
8.034.09c,c,A,L,H,L,H,L,H,L,H
8.034.09d,d,A,L,H,L,L,L,H,L,H
8.034.10a,a,A,H,H,L,H,L,H,L,L
8.034.10b,b,A,H,H,H,H,L,H,L,H
8.034.10c,c,A,L,H,L,H,L,H,L,H
8.034.10d,d,A,L,H,L,L,L,H,L,H
8.034.11a,a,A,H,H,H,L,L,H,L,L
8.034.11b,b,A,H,H,L,L,L,L,L,L
8.034.11c,c,A,L,H,L,H,L,H,L,H
8.034.11d,d,A,L,H,L,L,L,H,L,H
8.034.12a,a,A,L,H,H,H,L,H,L,L
8.034.12b,b,A,H,L,H,H,L,H,L,L
8.034.12c,c,A,L,H,L,H,L,H,L,H
8.034.12d,d,A,L,H,L,L,L,H,L,H
8.034.13a,a,A,H,H,L,H,L,H,L,L
8.034.13b,b,A,L,H,H,H,L,H,L,L
8.034.13c,c,A,L,H,L,H,L,H,L,H
8.034.13d,d,A,L,H,L,L,L,H,L,H
8.034.14a,a,A,H,H,H,H,L,H,L,H
8.034.14b,b,A,L,H,H,H,L,H,L,L
8.034.14c,c,A,L,H,L,H,L,H,L,H
8.034.14d,d,A,L,H,L,L,L,H,L,H
8.034.15a,a,A,H,H,L,H,L,H,L,L
8.034.15b,b,A,L,L,H,L,L,H,L,L
8.034.15c,c,A,L,H,L,H,L,H,L,H
8.034.15d,d,A,L,H,L,L,L,H,L,H
8.034.16a,a,G,H,L,H,H,L,H,L,H
8.034.16b,b,G,L,H,H,L,L,H,L,L
8.034.16c,c,G,H,H,L,H,L,H,L,L
8.034.17a,a,G,L,H,H,H,L,H,L,H
8.034.17b,b,G,L,L,H,H,L,H,L,L
8.034.17c,c,G,H,H,H,H,L,L,L,L
8.034.18a,a,G,H,H,L,H,L,H,L,L
8.034.18b,b,G,L,H,H,H,L,H,L,L
8.034.18c,c,G,H,H,L,H,L,H,L,H
8.038.01a,a,G,H,H,L,L,L,H,L,H
8.038.01b,b,G,H,H,H,H,L,H,L,L
8.038.01c,c,G,H,H,H,H,L,H,L,L
8.038.02a,a,G,H,H,H,L,L,H,H,H
8.038.02b,b,G,H,L,L,H,L,H,L,H
8.038.02c,c,G,H,H,H,H,L,H,L,L
8.038.03a,a,G,L,H,H,L,L,H,L,L
8.038.03b,b,G,L,H,H,H,L,H,L,L
8.038.03c,c,G,H,H,H,H,L,H,L,L
8.038.04a,a,G,L,H,H,H,L,H,L,H
8.038.04b,b,G,L,H,H,H,L,H,L,H
8.038.04c,c,G,H,H,H,H,L,H,L,H
8.038.05a,a,G,L,H,L,H,H,L,L,H
8.038.05b,b,G,H,H,H,H,L,H,L,L
8.038.05c,c,G,H,H,H,H,L,H,L,H
8.038.06a,a,G,L,H,H,H,L,H,L,L
8.038.06b,b,G,L,H,H,H,L,H,L,L
8.038.06c,c,G,H,H,H,H,L,H,L,H
8.038.07a,a,G,H,H,H,L,L,H,L,L
8.038.07b,b,G,H,H,H,H,L,H,L,H
8.038.07c,c,G,H,H,H,H,L,H,L,H
8.038.08a,a,G,H,H,L,H,L,H,L,H
8.038.08b,b,G,H,H,H,L,L,H,L,L
8.038.08c,c,G,H,H,H,H,L,H,L,H
8.038.09a,a,G,H,H,H,H,L,H,L,H
8.038.09b,b,G,L,H,L,H,L,H,L,H
8.038.09c,c,G,H,H,H,H,L,H,L,H
8.038.10a,a,G,H,H,L,H,L,H,L,H
8.038.10b,b,G,H,H,L,H,L,H,L,H
8.038.10c,c,G,H,H,H,H,L,H,L,H
8.042.04a,a,A,H,H,H,H,L,H,L,H
8.042.04b,b,A,H,H,H,L,L,H,L,L
8.042.04c,c,A,H,H,H,H,L,H,L,H
8.042.04d,d,A,L,H,H,H,L,H,L,H
8.042.05a,a,A,L,H,H,H,L,H,L,H
8.042.05b,b,A,H,H,H,H,L,H,L,H
8.042.05c,c,A,H,H,H,H,L,H,L,H
8.042.05d,d,A,L,H,H,H,L,H,L,H
8.042.06a,a,A,H,H,H,H,L,H,L,H
8.042.06b,b,A,L,H,L,H,L,H,L,H
8.042.06c,c,A,H,H,H,H,L,H,L,H
8.042.06d,d,A,L,H,H,H,L,H,L,H
8.043.01a,a,G,L,H,H,H,L,H,L,H
8.043.01b,b,G,H,H,H,L,L,H,L,L
8.043.01c,c,G,L,L,H,H,L,H,L,H
8.043.02a,a,G,H,H,H,L,L,H,L,H
8.043.02b,b,G,H,L,H,H,L,H,L,H
8.043.02c,c,G,H,H,L,H,L,H,L,L
8.043.03a,a,G,H,H,L,L,L,H,L,L
8.043.03b,b,G,H,L,H,H,L,L,L,L
8.043.03c,c,G,H,H,L,H,L,H,L,L
8.043.04a,a,G,L,L,H,H,L,H,L,H
8.043.04b,b,G,H,L,H,L,L,L,L,L
8.043.04c,c,G,L,H,H,L,L,H,L,L
8.043.05a,a,G,H,H,H,L,L,H,L,L
8.043.05b,b,G,H,H,H,L,L,H,L,L
8.043.05c,c,G,L,L,H,L,L,H,L,L
8.043.06a,a,G,H,H,L,H,L,H,L,L
8.043.06b,b,G,L,H,H,H,L,H,L,L
8.043.06c,c,G,H,H,H,H,L,L,L,L
8.043.07a,a,G,H,H,H,H,L,H,L,H
8.043.07b,b,G,H,L,H,H,L,H,L,L
8.043.07c,c,G,L,H,H,L,L,H,L,L
8.043.08a,a,G,H,H,L,L,L,H,L,L
8.043.08b,b,G,H,L,H,H,L,H,L,L
8.043.08c,c,G,H,H,L,H,L,H,L,H
8.043.09a,a,G,H,L,H,H,L,H,L,L
8.043.09b,b,G,H,L,H,L,L,H,L,H
8.043.09c,c,G,H,H,H,H,L,H,L,L
8.043.10a,a,G,L,H,H,L,L,H,L,H
8.043.10b,b,G,H,H,H,L,L,H,L,L
8.043.10c,c,G,H,H,H,L,L,H,L,H
8.043.11a,a,G,H,H,H,L,L,H,H,L
8.043.11b,b,G,H,L,H,H,L,H,L,H
8.043.11c,c,G,H,H,L,H,L,H,L,H
8.043.12a,a,G,L,L,H,L,L,H,L,L
8.043.12b,b,G,H,H,L,H,L,H,L,H
8.043.12c,c,G,H,H,L,H,L,H,L,H
8.043.13a,a,G,L,L,H,L,L,H,L,H
8.043.13b,b,G,L,H,L,H,L,H,L,L
8.043.13c,c,G,H,L,H,H,L,H,L,H
8.043.14a,a,G,L,H,L,H,L,H,L,H
8.043.14b,b,G,H,H,H,H,L,H,L,H
8.043.14c,c,G,L,H,H,H,L,H,L,H
8.043.15a,a,G,L,H,H,H,L,H,L,H
8.043.15b,b,G,L,H,H,L,L,H,L,L
8.043.15c,c,G,H,H,H,L,L,H,L,L
8.043.16a,a,G,H,H,H,H,L,H,L,L
8.043.16b,b,G,H,L,H,L,L,H,L,L
8.043.16c,c,G,L,H,H,H,L,H,L,H
8.043.17a,a,G,L,L,H,H,L,L,L,H
8.043.17b,b,G,H,H,L,L,L,H,L,H
8.043.17c,c,G,H,H,H,L,L,H,L,L
8.043.18a,a,G,H,H,L,H,L,H,L,L
8.043.18b,b,G,H,H,H,L,L,H,L,L
8.043.18c,c,G,H,H,H,H,L,H,L,H
8.043.19a,a,G,H,H,H,H,L,H,L,H
8.043.19b,b,G,H,L,H,H,L,H,L,L
8.043.19c,c,G,H,L,H,H,L,H,L,H
8.043.20a,a,G,H,H,H,H,L,H,L,L
8.043.20b,b,G,H,H,L,H,L,H,L,L
8.043.20c,c,G,H,H,H,H,L,H,L,H
8.043.21a,a,G,L,H,H,L,L,H,L,L
8.043.21b,b,G,L,H,H,L,L,L,L,L
8.043.21c,c,G,L,H,L,H,L,H,L,H
8.043.22a,a,G,L,H,H,L,L,H,L,H
8.043.22b,b,G,H,H,H,H,L,H,L,H
8.043.22c,c,G,L,H,H,L,L,H,L,L
8.043.23a,a,G,H,H,L,H,L,H,L,H
8.043.23b,b,G,H,H,H,H,L,H,L,L
8.043.23c,c,G,H,H,H,L,L,L,L,L
8.043.24a,a,G,L,H,H,H,L,H,L,L
8.043.24b,b,G,H,H,H,H,L,H,L,L
8.043.24c,c,G,H,L,H,H,L,L,L,L
8.043.25a,a,G,H,H,H,H,L,H,L,L
8.043.25b,b,G,H,H,L,H,L,H,L,L
8.043.25c,c,G,H,H,L,H,L,H,L,L
8.043.26a,a,G,H,H,H,L,L,L,L,H
8.043.26b,b,G,L,H,H,H,L,H,L,H
8.043.26c,c,G,H,H,H,H,L,H,L,L
8.043.27a,a,G,H,H,L,H,L,H,L,H
8.043.27b,b,G,L,H,L,H,L,H,L,L
8.043.27c,c,G,H,H,L,H,L,H,L,L
8.043.28a,a,G,L,H,H,L,L,L,L,L
8.043.28b,b,G,H,L,H,H,L,H,L,L
8.043.28c,c,G,H,H,H,H,L,H,L,H
8.043.29a,a,G,H,H,H,H,L,L,L,H
8.043.29b,b,G,H,H,H,L,L,H,L,L
8.043.29c,c,G,H,H,H,H,L,H,L,H
8.043.30a,a,G,H,H,H,H,L,H,L,H
8.043.30b,b,G,L,H,H,H,L,H,L,L
8.043.30c,c,G,L,H,H,H,L,H,L,H
8.043.31a,a,G,H,H,H,H,L,H,L,L
8.043.31b,b,G,H,H,L,H,L,H,L,L
8.043.31c,c,G,H,H,H,H,L,H,L,H
8.043.32a,a,G,L,L,H,H,L,H,L,L
8.043.32b,b,G,L,H,H,H,L,H,L,L
8.043.32c,c,G,H,H,L,H,L,H,L,H
8.043.33a,a,G,H,H,L,H,L,H,L,H
8.043.33b,b,G,H,H,H,H,L,H,L,L
8.043.33c,c,G,L,H,H,H,L,H,L,L
8.044.01a,a,G,L,L,H,H,L,H,L,L
8.044.01b,b,G,L,H,H,L,L,H,L,L
8.044.01c,c,G,H,H,H,H,L,H,L,L
8.044.02a,a,G,H,H,H,H,L,H,L,H
8.044.02b,b,G,H,H,H,H,L,H,L,H
8.044.02c,c,G,L,L,H,H,L,H,L,L
8.044.03a,a,G,H,H,H,H,L,H,L,H
8.044.03b,b,G,H,L,H,L,L,L,L,H
8.044.03c,c,G,H,H,H,H,L,H,L,L
8.044.04a,a,G,H,H,L,H,L,H,L,L
8.044.04b,b,G,L,L,H,H,L,H,L,L
8.044.04c,c,G,H,H,H,H,L,H,L,H
8.044.05a,a,G,L,L,H,L,L,H,L,L
8.044.05b,b,G,L,H,H,H,L,H,L,L
8.044.05c,c,G,H,H,H,H,L,H,L,L
8.044.06a,a,G,H,H,H,H,L,H,L,L
8.044.06b,b,G,H,L,H,H,L,H,L,L
8.044.06c,c,G,H,L,H,H,L,L,L,L
8.044.07a,a,G,H,H,H,H,L,H,L,L
8.044.07b,b,G,H,L,H,H,L,H,L,L
8.044.07c,c,G,H,L,H,H,L,H,L,L
8.044.08a,a,G,L,H,H,H,L,H,L,L
8.044.08b,b,G,L,H,H,H,L,H,L,L
8.044.08c,c,G,H,H,H,H,L,L,L,H
8.044.09a,a,G,L,L,H,L,L,H,L,L
8.044.09b,b,G,H,L,H,L,L,H,L,L
8.044.09c,c,G,L,H,H,H,L,H,L,L
8.044.10a,a,G,H,H,H,H,L,H,L,L
8.044.10b,b,G,H,L,H,H,L,H,L,L
8.044.10c,c,G,H,H,H,H,L,H,L,H
8.044.11a,a,G,H,H,L,H,L,H,L,L
8.044.11b,b,G,L,L,L,H,L,H,L,L
8.044.11c,c,G,H,L,H,H,L,H,L,L
8.044.12a,a,G,H,H,H,H,L,H,L,H
8.044.12b,b,G,H,H,H,L,L,H,L,H
8.044.12c,c,G,L,H,H,H,L,H,L,H
8.044.13a,a,G,H,H,L,H,L,H,L,H
8.044.13b,b,G,H,H,L,H,L,H,L,L
8.044.13c,c,G,H,H,H,H,L,H,L,H
8.044.14a,a,G,L,H,H,L,L,H,L,L
8.044.14b,b,G,H,H,H,H,L,H,L,H
8.044.14c,c,G,H,H,H,H,L,H,L,L
8.044.15a,a,G,H,H,H,L,L,H,L,H
8.044.15b,b,G,H,H,H,H,L,H,L,L
8.044.15c,c,G,H,L,H,H,L,H,L,L
8.044.16a,a,G,H,H,H,H,L,H,L,L
8.044.16b,b,G,L,H,L,L,L,L,L,L
8.044.16c,c,G,L,H,H,H,L,H,L,L
8.044.17a,a,G,L,H,H,L,L,H,L,L
8.044.17b,b,G,H,H,H,H,L,H,L,H
8.044.17c,c,G,L,L,H,H,L,H,L,L
8.044.18a,a,G,H,L,H,H,L,H,L,L
8.044.18b,b,G,H,H,H,H,L,H,L,L
8.044.18c,c,G,H,H,H,L,L,H,L,L
8.044.19a,a,G,L,H,H,H,L,H,L,L
8.044.19b,b,G,L,H,H,H,L,H,L,L
8.044.19c,c,G,L,H,H,H,L,H,L,L
8.044.20a,a,G,L,H,H,L,L,H,L,H
8.044.20b,b,G,H,H,L,H,L,H,L,H
8.044.20c,c,G,H,H,H,H,L,H,L,H
8.044.21a,a,G,H,H,L,H,L,L,L,L
8.044.21b,b,G,L,H,H,H,L,H,L,L
8.044.21c,c,G,L,H,H,L,L,H,L,L
8.044.22a,a,G,L,L,H,H,L,H,L,L
8.044.22b,b,G,L,H,H,H,L,H,L,H
8.044.22c,c,G,H,H,H,H,L,H,L,L
8.044.23a,a,G,L,H,H,H,L,H,L,L
8.044.23b,b,G,L,H,H,H,L,L,L,L
8.044.23c,c,G,H,H,H,L,L,H,L,L
8.044.24a,a,G,L,H,L,L,L,H,L,L
8.044.24b,b,G,L,L,H,H,L,H,L,L
8.044.24c,c,G,H,L,H,L,L,H,L,L
8.044.25a,a,G,H,H,L,H,L,H,L,H
8.044.25b,b,G,L,H,H,H,L,H,L,L
8.044.25c,c,G,L,H,H,H,L,H,L,H
8.044.26a,a,G,L,H,H,H,L,H,L,L
8.044.26b,b,G,H,H,H,L,L,H,L,L
8.044.26c,c,G,H,H,H,H,L,H,L,L
8.044.27a,a,G,H,H,H,L,L,H,L,L
8.044.27b,b,G,H,L,H,H,L,H,L,H
8.044.27c,c,G,H,H,L,H,L,H,L,H
8.044.28a,a,G,L,L,H,H,L,H,L,L
8.044.28b,b,G,L,L,H,H,L,H,L,L
8.044.28c,c,G,H,H,L,H,L,H,L,L
8.044.29a,a,G,H,H,L,L,L,H,L,L
8.044.29b,b,G,H,H,L,H,L,H,L,H
8.044.29c,c,G,H,H,H,L,L,L,L,L
8.044.30a,a,G,L,H,H,L,L,H,L,L
8.044.30b,b,G,L,H,H,H,L,H,L,H
8.044.30c,c,G,L,L,H,H,L,H,L,L
8.045.01a,a,G,H,H,H,H,L,H,L,H
8.045.01b,b,G,L,H,L,H,L,H,L,L
8.045.01c,c,G,H,H,H,H,L,H,L,H
8.045.03a,a,G,L,H,L,H,L,H,L,L
8.045.03b,b,G,H,L,H,L,L,H,L,L
8.045.03c,c,G,H,H,H,H,L,H,L,H
8.045.04a,a,G,H,H,H,H,L,H,L,H
8.045.04b,b,G,H,H,L,H,L,H,L,L
8.045.04c,c,G,L,H,H,H,L,H,L,H
8.045.05a,a,G,L,L,H,L,L,H,L,L
8.045.05b,b,G,L,H,H,H,L,H,L,L
8.045.05c,c,G,H,H,H,H,L,H,L,H
8.045.06a,a,G,L,L,H,L,L,H,L,L
8.045.06b,b,G,H,H,H,L,L,H,L,L
8.045.06c,c,G,H,H,L,H,L,H,L,L
8.045.08a,a,G,L,L,H,L,L,L,L,H
8.045.08b,b,G,H,H,H,H,L,H,L,L
8.045.08c,c,G,L,H,H,H,L,H,L,L
8.045.09a,a,G,H,H,H,L,L,H,L,L
8.045.09b,b,G,H,H,L,H,L,H,L,H
8.045.09c,c,G,L,H,H,H,L,H,L,L
8.045.10a,a,G,H,H,L,H,L,L,L,H
8.045.10b,b,G,L,H,H,H,L,H,L,H
8.045.10c,c,G,L,H,H,H,L,H,L,L
8.045.11a,a,G,L,H,H,H,L,H,L,H
8.045.11b,b,G,H,H,H,H,L,H,L,L
8.045.11c,c,G,L,H,L,L,L,H,L,L
8.045.12a,a,G,H,H,L,H,L,H,L,H
8.045.12b,b,G,L,H,H,H,L,H,L,H
8.045.12c,c,G,L,L,H,H,L,H,L,H
8.045.13a,a,G,H,H,L,H,L,H,L,L
8.045.13b,b,G,H,L,H,H,L,H,L,L
8.045.13c,c,G,H,H,L,H,L,H,L,L
8.045.14a,a,G,L,L,H,H,L,H,L,H
8.045.14b,b,G,H,H,L,H,L,H,L,L
8.045.14c,c,G,H,H,L,H,L,H,L,H
8.045.15a,a,G,H,H,H,H,L,H,L,L
8.045.15b,b,G,L,L,H,L,L,H,L,H
8.045.15c,c,G,H,L,H,H,L,H,L,L
8.045.16a,a,G,L,L,L,H,L,H,L,H
8.045.16b,b,G,L,H,L,H,L,H,L,L
8.045.16c,c,G,H,H,H,H,L,H,L,L
8.045.17a,a,G,L,L,H,L,L,H,L,L
8.045.17b,b,G,H,H,H,H,L,H,L,H
8.045.17c,c,G,H,H,L,L,L,H,L,H
8.045.18a,a,G,H,H,H,L,L,H,L,L
8.045.18b,b,G,H,H,H,H,L,L,L,L
8.045.18c,c,G,L,H,H,H,H,H,L,L
8.045.19a,a,G,H,H,L,H,L,L,L,L
8.045.19b,b,G,L,H,H,H,L,H,L,L
8.045.19c,c,G,H,L,L,H,L,H,L,L
8.045.20a,a,G,H,H,H,H,L,H,L,H
8.045.20b,b,G,L,H,H,L,L,H,L,H
8.045.20c,c,G,H,L,L,H,L,H,L,H
8.045.21a,a,G,H,L,H,H,L,H,L,L
8.045.21b,b,G,L,L,H,H,L,H,L,H
8.045.21c,c,G,L,H,H,H,L,H,L,L
8.045.22a,a,G,L,L,H,L,L,H,L,H
8.045.22b,b,G,L,H,L,H,L,H,L,H
8.045.22c,c,G,H,H,L,H,L,H,L,L
8.045.23a,a,G,H,H,H,L,L,H,L,H
8.045.23b,b,G,H,L,H,H,L,H,L,L
8.045.23c,c,G,H,H,H,H,L,H,L,L
8.045.24a,a,G,L,L,H,H,L,H,L,H
8.045.24b,b,G,L,H,H,H,L,H,L,H
8.045.24c,c,G,L,H,H,H,L,H,L,L
8.045.25a,a,G,H,H,L,H,L,H,L,L
8.045.25b,b,G,L,H,L,H,L,H,L,H
8.045.25c,c,G,H,H,H,L,L,H,L,L
8.045.26a,a,G,L,L,H,H,L,H,L,L
8.045.26b,b,G,H,H,L,H,L,H,L,H
8.045.26c,c,G,H,H,H,H,L,H,L,L
8.045.27a,a,G,H,H,H,H,L,H,L,H
8.045.27b,b,G,L,H,L,H,L,H,L,L
8.045.27c,c,G,L,H,H,H,L,H,L,L
8.045.29a,a,G,L,H,L,H,L,H,L,L
8.045.29b,b,G,H,H,L,H,L,H,L,L
8.045.29c,c,G,H,H,H,H,L,H,L,H
8.045.30a,a,G,H,H,L,H,L,H,L,L
8.045.30b,b,G,L,H,H,L,L,H,L,L
8.045.30c,c,G,H,H,H,H,L,H,L,H
8.045.31a,a,G,H,L,L,H,L,H,L,L
8.045.31b,b,G,H,H,H,H,L,H,L,L
8.045.31c,c,G,H,H,L,H,L,H,L,L
8.045.32a,a,G,H,H,H,L,L,H,L,L
8.045.32b,b,G,L,H,H,H,L,L,L,L
8.045.32c,c,G,L,H,L,H,L,H,L,L
8.045.33a,a,G,L,H,L,H,L,H,L,H
8.045.33b,b,G,L,H,L,L,L,H,L,L
8.045.33c,c,G,L,H,L,H,L,H,L,L
8.045.34a,a,G,H,L,H,H,H,H,L,L
8.045.34b,b,G,H,L,L,H,L,L,L,L
8.045.34c,c,G,L,H,H,H,L,H,L,L
8.045.35a,a,G,L,L,H,L,L,H,L,L
8.045.35b,b,G,H,H,L,H,L,H,L,L
8.045.35c,c,G,H,H,L,L,L,H,L,L
8.045.36a,a,G,H,H,H,H,L,H,L,H
8.045.36b,b,G,H,H,H,L,L,H,L,H
8.045.36c,c,G,H,H,H,H,L,H,L,L
8.045.37a,a,G,H,L,H,L,L,L,L,L
8.045.37b,b,G,L,H,L,H,L,H,L,H
8.045.37c,c,G,L,H,H,H,L,H,L,H
8.045.38a,a,G,H,H,H,L,L,H,L,H
8.045.38b,b,G,L,H,H,H,L,H,L,L
8.045.38c,c,G,H,H,L,L,L,H,L,L
8.045.39a,a,G,H,L,H,H,L,H,L,H
8.045.39b,b,G,L,H,H,H,L,H,L,H
8.045.39c,c,G,L,H,H,H,L,H,L,L
8.045.40a,a,G,H,L,H,L,L,L,L,L
8.045.40b,b,G,L,L,H,H,L,H,L,L
8.045.40c,c,G,L,L,H,H,L,H,L,L
8.045.41a,a,G,H,H,H,H,L,H,L,H
8.045.41b,b,G,H,H,H,H,L,H,L,L
8.045.41c,c,G,L,L,H,H,L,H,L,L
8.045.42a,a,G,H,L,H,H,L,H,L,H
8.045.42b,b,G,H,H,H,H,L,H,L,L
8.045.42c,c,G,L,L,H,H,L,H,L,L
8.046.03a,a,G,H,H,L,H,L,L,H,L
8.046.03b,b,G,L,L,H,H,L,H,L,H
8.046.03c,c,G,H,H,L,H,L,H,L,L
8.046.06a,a,G,L,H,H,H,L,H,L,H
8.046.06b,b,G,L,L,H,L,L,H,L,L
8.046.06c,c,G,H,H,H,H,L,H,L,H
8.046.08a,a,A,H,H,L,H,L,H,L,H
8.046.08b,b,A,L,H,L,H,L,H,L,L
8.046.08c,c,A,L,H,L,H,L,H,L,L
8.046.08d,d,A,H,L,L,H,L,H,L,L
8.046.10a,a,G,H,H,L,H,L,H,L,H
8.046.10b,b,G,H,L,L,L,L,L,L,H
8.046.10c,c,G,L,L,H,L,L,H,L,L
8.046.23a,a,G,L,L,H,L,L,H,L,H
8.046.23b,b,G,H,L,H,H,L,H,L,L
8.046.23c,c,G,H,H,H,H,L,H,L,L
8.046.33a,a,G,L,L,H,H,L,H,L,H
8.046.33b,b,G,L,H,H,L,L,H,L,L
8.046.33c,c,G,L,L,H,H,L,H,L,H
8.055.01a,a,G,H,H,H,H,L,H,L,L
8.055.01b,b,G,L,H,L,L,L,H,L,L
8.055.01c,c,G,H,H,H,H,L,H,L,L
8.055.02a,a,G,L,H,H,H,L,H,L,H
8.055.02b,b,G,L,L,H,H,L,H,H,H
8.055.02c,c,G,H,H,L,H,L,H,L,L
8.055.03a,a,A,L,H,H,H,L,H,L,L
8.055.03b,b,A,L,H,H,H,L,H,H,L
8.055.03c,c,A,L,H,H,H,L,H,L,H
8.055.03d,d,A,L,L,H,H,L,H,L,L
8.055.04a,a,G,L,H,H,L,H,H,L,H
8.055.04b,b,G,L,H,L,H,L,L,H,L
8.055.04c,c,G,H,H,H,L,H,L,L,L
8.055.05a,a,A,H,H,H,H,L,H,L,H
8.055.05b,b,A,H,H,H,L,L,L,L,L
8.055.05c,c,A,H,H,L,H,L,H,L,L
8.055.05d,d,A,H,L,H,L,L,H,L,H
8.056.01a,a,G,L,L,H,H,L,H,L,L
8.056.01b,b,G,H,L,L,H,L,H,L,L
8.056.01c,c,G,L,H,L,L,L,H,L,L
8.056.02a,a,G,L,L,H,H,H,H,L,L
8.056.02b,b,G,L,H,H,H,L,H,L,L
8.056.02c,c,G,H,H,H,H,L,H,L,L
8.056.04a,a,G,H,H,L,L,H,H,L,L
8.056.04b,b,G,H,H,L,H,H,L,H,H
8.056.04c,c,G,H,H,H,H,L,H,L,H
8.063.02a,a,G,L,H,H,H,L,H,L,L
8.063.02b,b,G,H,L,H,H,H,H,L,L
8.063.02c,c,G,H,H,H,L,L,H,L,H
8.063.03a,a,G,L,H,H,H,L,H,L,L
8.063.03b,b,G,H,H,L,L,L,H,L,L
8.063.03c,c,G,L,H,L,H,L,H,L,L
8.063.04a,a,A,L,H,L,H,L,L,L,L
8.063.04b,b,A,H,H,H,H,L,H,L,L
8.063.04c,c,A,L,H,H,H,L,H,L,L
8.063.04d,d,A,H,H,H,H,L,L,L,H
8.063.05a,a,A,H,H,L,H,L,L,L,L
8.063.05b,b,A,H,H,L,H,L,H,L,L
8.063.05c,c,A,H,L,H,L,L,H,L,L
8.063.05d,d,A,H,L,H,H,L,H,L,H
8.063.06a,a,G,H,H,H,H,L,H,L,H
8.063.06b,b,G,L,H,L,H,L,H,L,L
8.063.06c,c,G,L,H,L,H,L,H,L,L
8.063.07a,a,A,H,H,L,H,L,H,L,H
8.063.07b,b,A,H,H,H,L,L,H,L,L
8.063.07c,c,A,H,L,H,H,L,H,L,H
8.063.07d,d,A,H,H,H,H,L,L,L,L
8.063.08a,a,G,L,L,L,H,L,H,L,L
8.063.08b,b,G,L,L,H,H,L,H,L,H
8.063.08c,c,G,H,H,H,H,L,H,L,L
8.063.09a,a,G,H,L,H,H,L,H,L,L
8.063.09b,b,G,L,L,L,H,L,H,L,H
8.063.09c,c,G,L,H,L,H,L,H,L,H
8.063.10a,a,G,H,L,H,L,L,H,L,H
8.063.10b,b,G,H,H,H,H,L,L,L,L
8.063.10c,c,G,H,L,L,H,L,H,L,H
8.063.11a,a,G,L,H,L,H,L,H,L,L
8.063.11b,b,G,H,L,H,H,L,H,L,L
8.063.11c,c,G,H,H,H,L,L,H,L,H
8.064.02a,a,G,L,H,L,H,L,H,L,H
8.064.02b,b,G,L,H,H,L,L,H,L,L
8.064.02c,c,G,L,L,H,H,L,L,L,L
8.064.05a,a,G,L,H,H,H,L,H,L,L
8.064.05b,b,G,L,L,H,H,L,H,L,L
8.064.05c,c,G,L,H,H,H,L,H,L,L
8.064.06a,a,G,L,L,L,H,L,H,L,H
8.064.06b,b,G,L,H,H,H,L,H,L,H
